customer_age,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,customer_region_Nordeste,customer_region_Norte,customer_region_Sudeste,customer_region_Sul
34,43,385.1,1,0.24,6,13,1,60.32,1,1,2,3,False,False,False,True
21,69,282.06,1,15.93,9,9,4,32.41,2,0,11,2,False,False,False,True
35,49,273.16,3,11.66,7,4,2,45.19,3,1,4,2,False,False,True,False
68,15,359.35,3,20.38,2,4,1,55.22,3,2,4,4,False,False,True,False
34,87,176.71,4,24.92,3,13,1,15.82,3,4,3,7,False,False,True,False
45,113,511.39,6,22.93,2,10,0,30.45,3,0,7,2,False,False,False,True
48,5,298.11,3,14.29,4,6,0,36.42,2,3,4,4,False,False,False,True
62,75,294.55,5,4.5,11,9,3,38.69,2,1,10,3,True,False,False,False
51,67,1004.9,4,29.24,11,13,2,25.07,3,0,2,2,False,False,False,False
32,105,390.01,2,84.53,8,9,2,35.9,2,1,6,4,False,False,True,False
65,104,68.2,6,197.6,3,7,1,26.64,3,1,2,2,True,False,False,False
66,33,479.08,4,4.23,2,14,2,55.71,2,4,9,8,False,False,False,False
69,99,232.1,4,47.45,7,6,2,43.75,3,1,1,3,True,False,False,False
25,96,113.02,3,0.16,4,10,2,21.68,3,1,9,3,False,False,False,False
21,17,719.29,3,10.24,1,4,3,15.23,3,0,2,2,False,False,False,True
40,86,172.68,1,39.48,2,10,1,29.51,1,2,6,6,False,True,False,False
69,58,95.55,2,0.71,1,3,1,36.32,1,2,2,6,False,False,False,False
45,118,599.88,3,6.49,1,11,3,27.4,1,0,4,4,False,False,False,False
67,119,149.3,1,63.46,4,3,3,36.7,1,2,7,4,False,False,True,False
19,67,430.96,2,6.8,2,10,3,16.33,1,1,4,3,False,False,True,False
68,78,87.57,1,0.78,11,2,1,17.86,3,1,9,4,True,False,False,False
42,48,1169.02,5,0.13,1,13,3,54.99,1,2,10,4,True,False,False,False
28,52,290.3,1,10.93,10,10,3,45.93,2,2,7,7,False,False,True,False
60,41,484.08,3,13.24,11,11,5,28.93,1,0,0,2,True,False,False,False
30,114,1248.46,5,59.49,11,4,4,65.58,3,1,10,3,False,False,True,False
40,115,262.62,3,8.32,3,4,6,46.55,2,1,0,3,False,False,False,True
59,80,79.93,2,129.11,6,2,4,27.59,1,1,1,3,True,False,False,False
65,6,348.48,3,123.3,6,14,2,46.72,3,1,7,2,True,False,False,False
20,62,589.07,3,66.27,6,5,1,39.73,1,3,4,7,False,True,False,False
66,28,605.25,5,16.65,7,14,2,32.12,2,2,4,4,False,False,False,False
67,111,890.41,5,22.59,4,4,1,26.86,2,0,2,2,False,False,False,False
34,7,1047.21,4,20.75,6,10,2,46.66,1,2,7,5,False,False,False,False
37,99,310.79,6,8.4,2,11,1,44.14,1,1,2,4,True,False,False,False
63,9,178.49,4,113.62,1,8,2,39.05,1,2,8,7,False,True,False,False
42,87,366.1,1,55.57,5,12,2,60.69,1,1,4,4,False,False,True,False
34,4,1342.93,2,14.83,4,6,2,40.46,2,1,10,5,False,False,True,False
18,16,212.56,1,17.78,7,9,1,60.49,1,0,0,1,False,False,False,True
43,97,313.84,6,10.82,11,7,3,18.31,2,0,1,4,False,False,False,False
49,117,128.64,1,2.96,6,7,0,45.96,1,1,0,3,False,False,False,False
38,26,323.22,6,48.95,9,13,0,22.17,2,1,6,1,False,False,True,False
34,102,55.74,1,28.35,4,7,3,46.16,1,0,6,2,False,False,False,True
57,79,225.33,3,179.99,6,14,0,59.57,3,2,8,4,False,False,False,False
65,57,385.12,1,5.05,6,13,4,43.54,2,2,5,4,False,True,False,False
65,43,1410.34,1,87.38,10,5,2,41.69,1,3,3,5,False,False,True,False
38,23,112.19,5,30.19,7,6,4,36.73,1,1,6,7,False,False,False,True
31,97,556.18,2,25.01,9,2,5,53.27,2,2,6,6,False,False,False,False
44,74,277.61,5,12.96,8,3,2,49.48,1,0,6,1,False,False,False,True
27,113,894.62,6,36.6,8,11,4,38.24,1,1,0,4,False,False,False,False
29,75,245.97,2,29.13,3,5,5,47.44,2,1,7,5,False,False,False,False
27,17,194.67,6,10.81,3,9,1,19.84,2,0,8,4,False,False,False,True
66,57,411.41,2,3.18,7,9,6,33.98,1,0,7,4,True,False,False,False
47,115,522.64,6,2.87,2,3,7,45.93,1,2,10,6,False,False,False,True
35,24,93.9,6,27.22,10,10,3,34.65,3,3,8,5,False,False,True,False
35,118,537.47,4,0.63,9,2,4,41.58,3,0,6,2,False,True,False,False
22,5,199.27,3,67.34,10,5,3,38.63,3,1,9,4,False,False,False,False
50,17,366.89,2,59.58,4,8,0,46.5,3,1,6,1,False,True,False,False
21,42,87.23,6,12.36,9,7,2,34.49,3,1,5,4,False,False,False,False
42,80,686.6,1,42.46,6,4,3,38.5,3,2,0,6,False,True,False,False
67,107,364.16,4,77.68,8,2,3,61.51,2,2,4,4,False,False,True,False
57,58,102.93,5,21.66,11,14,0,45.55,3,1,3,1,False,False,False,False
57,86,480.64,2,0.02,6,6,5,52.63,2,1,5,3,False,False,False,True
67,66,222.92,6,17.1,7,9,2,45.11,1,2,0,5,False,False,False,True
48,77,297.59,6,18.86,9,14,3,33.46,2,1,5,3,False,False,True,False
21,46,166.63,2,53.43,9,8,4,35.3,1,0,6,6,False,False,True,False
37,4,216.05,2,8.62,1,9,3,47.71,2,1,4,4,False,False,True,False
68,53,1250.18,3,2.74,2,14,5,61.85,1,2,4,4,False,True,False,False
46,75,319.81,4,23.55,2,5,3,37.66,1,2,2,4,False,False,False,True
54,7,681.77,3,22.47,3,12,1,40.11,2,2,6,6,False,False,False,True
31,95,30.68,5,99.74,7,14,3,35.41,1,2,9,4,True,False,False,False
37,42,133.12,5,17.22,10,3,0,47.17,1,1,1,3,False,True,False,False
18,60,116.2,1,18.8,1,3,2,37.16,3,2,4,5,False,False,False,True
21,80,301.56,2,23.06,10,3,0,32.81,1,1,3,4,False,False,True,False
54,69,214.21,5,9.15,4,4,4,47.49,2,2,7,7,False,False,True,False
55,14,230.48,6,15.3,5,13,2,15.72,2,2,4,4,False,False,False,False
41,5,853.88,1,35.43,2,7,1,31.06,2,3,4,7,False,False,True,False
62,117,1360.73,1,7.89,11,10,1,27.89,3,1,8,2,False,False,False,False
38,50,755.61,1,10.68,9,3,2,37.91,2,3,11,5,False,False,False,True
21,72,214.86,3,14.55,2,11,2,42.34,1,1,8,5,False,False,False,True
55,2,792.28,4,41.14,4,8,0,50.3,3,2,2,3,False,False,False,True
51,112,265.31,1,31.87,10,6,1,44.13,1,2,11,7,False,False,False,True
69,112,705.5,2,22.01,5,7,5,46.25,1,0,4,4,False,True,False,False
63,66,545.98,5,18.22,2,2,2,42.4,3,2,8,3,False,True,False,False
40,19,1032.77,4,17.35,2,9,0,34.13,2,4,0,7,True,False,False,False
53,7,214.0,6,5.39,3,13,3,23.47,2,2,6,6,False,False,False,False
52,12,73.61,2,16.07,7,12,0,36.42,2,1,5,3,True,False,False,False
22,57,352.7,6,23.54,7,7,2,39.12,2,1,3,3,False,False,False,False
59,78,288.59,6,59.46,7,7,4,35.22,2,2,5,6,False,False,False,True
26,114,289.45,3,7.09,5,6,2,35.55,3,1,3,4,False,True,False,False
31,99,409.38,1,17.45,8,2,3,28.44,1,2,2,6,False,False,False,True
32,15,361.59,2,23.33,3,12,4,38.25,2,3,6,6,False,False,False,True
40,72,277.69,1,64.51,10,5,2,41.87,1,3,2,7,False,False,False,False
59,80,427.38,2,11.99,9,12,4,33.5,1,2,11,4,False,True,False,False
54,75,617.46,3,24.83,7,13,3,22.99,2,2,2,5,False,True,False,False
39,104,468.42,6,52.77,7,4,3,57.93,2,1,6,3,False,True,False,False
54,16,392.77,6,4.25,1,14,4,48.55,2,2,7,4,False,False,True,False
47,96,264.58,2,40.84,8,7,4,48.75,1,0,5,2,False,True,False,False
20,90,555.71,2,85.85,11,9,2,54.49,2,2,3,5,False,False,True,False
63,84,441.76,6,20.35,4,6,2,19.05,3,0,8,3,True,False,False,False
30,114,349.17,3,12.78,11,12,1,28.64,2,1,7,4,False,False,False,True
61,101,669.42,6,3.74,7,7,1,56.54,3,2,0,3,True,False,False,False
37,5,526.86,2,9.22,7,10,0,57.65,3,2,10,3,False,False,True,False
33,68,481.86,6,14.18,11,5,1,43.06,1,1,7,4,False,False,False,True
20,15,529.48,4,19.48,5,8,3,44.32,1,1,4,7,False,False,False,False
57,41,302.19,2,5.25,5,6,3,55.06,1,1,2,3,False,False,False,False
47,109,199.72,1,62.48,4,11,3,36.06,2,1,1,4,False,False,True,False
69,62,911.99,3,3.77,11,6,1,34.6,1,2,4,5,False,False,False,True
38,80,674.77,3,33.68,11,3,0,49.3,1,4,9,6,False,False,False,True
60,5,145.26,3,7.08,9,4,2,27.2,1,4,11,7,False,False,False,True
28,95,124.4,6,32.2,4,12,2,48.38,2,1,0,4,True,False,False,False
42,8,648.74,3,53.59,6,12,3,53.68,3,1,8,6,False,False,True,False
67,39,326.8,3,0.51,2,9,5,22.39,3,0,4,4,True,False,False,False
25,57,293.61,3,47.72,11,12,1,44.57,3,1,9,6,False,False,True,False
56,71,1176.27,3,103.23,6,4,3,25.84,1,0,9,2,True,False,False,False
39,58,233.82,3,9.16,8,3,1,56.32,3,2,1,3,False,False,False,True
48,13,481.95,2,19.57,7,6,3,43.74,1,0,11,4,False,True,False,False
24,56,360.68,3,12.87,3,13,2,35.39,3,1,9,2,False,False,False,True
68,102,626.65,5,0.66,1,5,1,23.72,3,0,0,2,False,False,False,False
20,39,478.48,2,1.91,5,13,1,19.27,3,2,1,5,True,False,False,False
19,47,308.64,4,22.93,4,2,3,47.16,3,3,3,7,False,False,False,False
44,72,843.31,2,14.23,8,12,0,35.35,1,1,6,3,False,True,False,False
33,71,471.22,2,52.51,4,11,1,31.94,3,0,1,2,False,True,False,False
67,116,218.79,1,17.39,11,9,3,35.44,2,3,0,5,False,False,False,True
57,53,162.8,6,1.68,3,14,3,53.66,1,2,8,4,True,False,False,False
67,28,371.71,3,3.26,3,10,3,31.83,2,2,8,6,False,False,True,False
49,111,652.4,6,12.79,8,3,5,38.21,1,1,8,5,False,False,False,True
58,73,171.4,5,50.19,7,11,2,24.77,3,1,0,4,True,False,False,False
45,79,302.31,6,34.56,7,9,4,35.5,3,2,9,6,False,False,False,True
35,52,494.35,1,4.78,9,9,4,46.28,3,1,10,4,False,False,False,True
34,110,381.05,3,5.4,6,10,3,48.09,1,2,0,4,False,False,False,False
33,17,904.14,5,11.79,9,11,3,41.5,1,1,4,3,False,False,False,True
43,115,199.51,5,2.52,4,8,1,41.86,3,1,10,5,False,False,False,True
51,6,430.01,4,11.03,9,9,1,42.71,1,2,2,4,True,False,False,False
65,57,540.55,2,22.89,9,9,1,48.24,3,1,7,3,False,True,False,False
32,2,157.16,4,41.93,5,4,1,44.17,1,1,5,3,False,False,False,False
20,3,80.05,5,25.79,9,2,4,36.66,3,1,8,5,False,False,True,False
47,104,361.85,5,5.75,6,7,1,35.43,3,1,2,2,False,False,False,False
60,29,594.53,4,7.83,11,14,3,38.83,3,2,7,5,False,False,False,True
60,3,81.77,2,30.91,10,9,2,41.66,3,2,9,4,False,False,False,False
21,94,376.56,4,32.82,9,12,0,25.85,2,0,11,0,False,False,False,True
34,81,402.73,2,43.73,10,3,0,26.84,2,0,8,1,False,False,False,False
21,47,143.82,3,42.0,9,8,3,51.74,1,2,3,5,True,False,False,False
45,60,269.19,6,75.68,6,13,2,25.43,3,2,6,6,False,False,True,False
40,62,610.28,5,68.87,10,3,0,25.93,2,0,9,0,True,False,False,False
19,43,97.04,4,2.59,2,12,2,43.71,2,0,2,1,False,True,False,False
34,96,133.78,1,57.6,2,12,3,53.78,3,0,2,3,False,False,True,False
53,109,192.62,1,3.3,8,4,2,41.42,3,1,7,4,False,False,False,True
28,87,143.26,6,49.8,7,9,2,21.84,1,1,4,4,False,False,True,False
68,13,213.38,5,3.22,11,11,1,27.99,1,4,4,6,False,False,False,True
63,16,314.4,6,17.94,3,14,1,43.41,2,3,4,7,False,False,False,False
21,18,396.21,3,45.62,4,2,1,51.29,2,2,7,5,True,False,False,False
29,117,202.43,4,4.8,10,4,3,25.72,3,0,7,4,False,False,False,False
39,42,58.0,3,7.64,2,2,2,47.46,2,1,2,4,False,False,True,False
45,15,819.32,5,26.25,6,5,1,42.99,1,4,3,7,True,False,False,False
60,89,461.83,2,14.02,7,6,3,29.26,1,6,4,8,True,False,False,False
28,92,981.97,1,0.95,10,10,2,49.78,2,1,0,3,False,False,True,False
34,70,382.88,5,69.09,8,14,0,50.28,3,2,10,4,False,False,False,False
49,83,784.82,3,33.17,8,14,3,18.63,2,1,3,3,False,False,False,True
35,14,199.86,6,35.78,8,3,4,32.52,3,0,4,3,False,True,False,False
19,116,342.67,5,81.52,4,10,3,43.57,2,2,8,5,False,False,True,False
35,61,294.32,2,3.52,3,8,0,42.34,3,1,8,1,False,False,False,True
61,72,193.27,4,64.11,10,7,4,57.26,2,1,1,4,False,True,False,False
38,109,501.54,4,43.72,10,2,2,28.64,2,2,5,5,False,False,False,False
31,29,146.7,1,11.31,11,11,0,42.13,3,3,5,3,False,False,True,False
42,27,416.92,3,11.88,3,10,3,48.69,1,0,10,4,False,True,False,False
56,15,237.82,1,44.05,3,8,4,47.95,2,0,5,3,False,False,True,False
67,82,306.06,2,71.6,2,9,4,13.5,3,0,5,2,False,True,False,False
25,98,335.88,6,4.24,2,11,1,44.77,2,2,6,7,False,False,True,False
54,13,716.05,1,11.77,7,11,6,63.44,3,5,1,10,False,False,False,True
61,55,816.09,3,14.98,11,3,3,49.61,2,3,5,5,False,False,True,False
56,27,771.14,2,1.27,10,4,1,24.83,1,1,6,3,False,True,False,False
41,78,152.37,4,25.46,9,9,2,40.05,1,0,5,4,False,False,True,False
46,17,348.5,5,16.48,9,8,1,32.81,1,1,11,3,False,False,False,False
58,83,705.92,3,5.62,7,4,1,45.41,1,2,3,4,True,False,False,False
18,84,279.65,6,15.36,8,8,3,19.07,1,0,3,3,False,False,False,False
67,32,411.16,4,7.72,2,2,2,41.54,2,2,10,5,False,False,True,False
60,55,341.01,3,16.72,4,3,3,49.54,1,0,7,4,False,False,False,False
21,103,526.18,4,38.15,9,2,1,41.84,1,0,11,6,False,True,False,False
53,35,614.47,4,24.45,2,5,2,33.83,1,1,4,2,False,False,False,True
46,3,1120.9,4,57.57,5,13,2,40.75,2,4,0,6,False,False,False,False
60,6,248.21,4,8.05,6,8,3,45.04,1,1,3,3,True,False,False,False
23,102,693.16,3,26.12,5,10,1,45.57,3,1,0,3,False,True,False,False
51,110,589.37,6,46.71,7,13,1,22.81,3,2,2,4,False,False,False,True
22,35,1329.51,2,22.99,3,10,2,40.23,2,1,2,4,True,False,False,False
51,5,109.66,6,5.88,6,14,1,33.27,3,0,11,3,False,True,False,False
60,76,34.42,1,11.2,7,6,2,32.08,3,2,9,5,False,False,False,True
60,2,1257.6,4,19.62,9,7,1,25.23,3,0,4,2,True,False,False,False
56,17,119.54,3,23.79,2,2,1,59.2,2,0,7,4,False,False,False,True
66,108,555.83,5,30.85,8,7,3,47.55,3,2,2,6,True,False,False,False
25,68,672.84,1,39.5,4,6,2,25.88,2,0,7,1,False,False,False,False
26,37,253.83,3,17.24,2,11,1,25.93,2,1,10,3,False,False,False,True
46,60,663.22,5,4.76,3,5,4,45.32,1,3,6,6,False,True,False,False
25,58,288.81,4,29.89,6,9,0,44.0,1,2,5,4,True,False,False,False
41,51,453.95,2,19.2,6,6,0,34.17,2,3,6,6,True,False,False,False
67,52,657.4,1,11.73,4,12,3,51.45,1,1,8,4,False,False,False,False
68,19,383.83,5,6.21,7,9,1,45.92,1,1,2,3,False,False,False,False
58,47,221.05,2,17.25,3,5,2,48.59,2,1,5,4,False,False,True,False
30,22,456.69,1,46.28,2,13,3,29.97,2,2,9,4,False,False,False,False
21,118,662.69,4,42.11,7,12,3,42.97,2,0,3,2,False,False,False,True
62,81,42.28,1,39.12,9,3,4,47.8,3,1,11,5,False,True,False,False
48,85,426.91,5,0.77,4,12,0,30.72,2,2,11,4,False,False,True,False
48,119,1476.68,3,3.85,11,3,2,40.35,1,3,10,5,False,False,False,False
40,16,850.46,6,52.95,8,6,3,13.24,2,3,1,6,True,False,False,False
56,31,688.36,5,77.19,5,4,2,42.26,1,0,10,2,False,False,False,True
61,68,400.57,6,6.21,1,5,0,29.36,3,0,3,1,False,False,False,True
60,37,755.52,4,5.16,9,5,1,40.59,2,3,9,5,True,False,False,False
28,69,329.96,1,37.51,8,4,1,41.91,3,2,4,5,False,False,False,True
65,22,1219.79,1,102.07,9,12,1,11.63,1,4,9,6,False,False,False,True
25,3,357.82,3,23.43,4,5,2,39.02,2,2,11,5,False,False,False,False
28,106,391.87,5,30.44,2,14,2,46.21,2,1,10,3,True,False,False,False
66,57,74.87,2,23.68,8,10,0,34.17,3,0,6,1,True,False,False,False
63,103,222.54,2,63.18,2,8,2,19.64,2,2,5,5,False,False,False,True
56,20,321.25,4,18.22,3,6,3,62.65,3,1,6,4,False,False,True,False
48,65,355.45,3,1.37,7,11,2,33.63,2,0,2,2,False,False,False,True
55,77,476.96,4,25.64,7,11,4,31.34,3,1,2,3,False,True,False,False
64,69,550.17,4,34.27,9,12,0,45.49,1,1,7,2,False,True,False,False
20,31,124.88,6,51.18,11,10,1,33.27,3,2,5,4,False,False,True,False
60,97,1363.98,1,26.4,8,10,2,23.61,2,3,8,4,False,False,False,True
18,50,309.37,2,40.6,10,8,1,52.17,3,3,2,4,False,False,False,True
34,66,407.43,3,3.62,4,2,2,46.36,1,5,9,7,False,True,False,False
55,22,1826.22,2,58.33,6,4,0,43.97,2,1,1,1,False,False,False,True
67,37,28.41,3,63.62,10,8,3,26.79,2,1,6,3,True,False,False,False
66,109,448.69,1,23.87,10,2,4,33.67,2,0,6,4,False,False,False,True
34,95,172.0,4,14.71,10,2,4,24.84,2,2,4,4,False,True,False,False
68,82,787.5,2,10.43,2,3,1,47.18,2,1,7,4,False,False,False,False
25,74,203.79,2,53.64,4,2,2,35.86,2,0,5,3,False,False,False,True
52,63,745.4,5,136.81,2,10,3,53.78,3,0,11,4,False,True,False,False
60,99,670.5,5,14.19,7,12,4,27.37,3,2,1,4,False,False,False,False
65,91,157.35,4,49.86,6,14,0,72.45,3,1,7,1,False,False,False,True
18,29,409.49,2,36.49,6,2,1,38.79,1,3,11,7,False,False,True,False
45,19,881.11,4,1.13,4,13,5,16.81,1,0,5,2,False,False,False,True
64,107,290.94,6,7.76,5,4,3,42.48,1,1,1,4,False,True,False,False
29,93,180.98,3,44.61,4,11,1,53.95,1,1,11,3,False,False,True,False
64,111,490.0,5,28.7,7,8,1,42.94,3,1,4,5,True,False,False,False
35,108,328.47,3,15.86,8,8,1,48.54,1,2,4,4,False,True,False,False
46,111,507.06,5,42.82,6,6,1,40.99,1,4,5,7,True,False,False,False
30,106,34.27,5,0.98,2,14,1,28.06,3,1,10,3,False,False,False,True
33,2,892.36,3,31.72,11,2,3,35.06,3,1,7,4,False,False,False,False
59,24,221.73,5,8.0,1,8,4,47.6,2,2,0,5,False,False,True,False
52,116,110.48,2,30.15,5,2,2,19.39,1,2,4,5,False,False,True,False
43,19,1197.2,5,36.42,10,2,3,31.84,2,4,1,7,True,False,False,False
46,40,95.2,3,65.45,7,13,2,48.59,1,1,11,5,False,False,False,False
48,78,186.89,3,3.19,5,10,2,47.83,1,0,9,5,False,False,True,False
22,2,1417.73,6,93.25,9,5,2,22.51,3,1,8,4,False,False,False,True
57,47,450.65,5,4.79,6,12,1,43.3,3,1,2,4,False,False,True,False
45,106,147.16,3,55.23,8,7,1,41.42,3,1,0,3,False,False,False,False
67,117,496.5,5,36.04,9,2,2,26.77,1,0,8,1,False,False,True,False
65,60,219.5,4,40.8,10,13,3,25.12,1,1,4,3,False,False,False,False
23,106,286.17,5,4.5,2,7,2,33.71,2,1,6,4,False,False,True,False
47,106,680.72,5,21.68,7,4,2,43.0,1,2,3,4,False,False,False,True
42,27,675.26,6,28.5,2,7,1,24.72,3,1,2,4,True,False,False,False
60,32,208.34,1,21.13,10,7,2,37.02,2,2,3,4,True,False,False,False
38,116,115.53,6,0.75,11,11,2,23.55,2,0,11,4,False,False,False,True
61,52,80.93,5,39.04,4,7,2,46.99,2,3,6,5,False,False,False,True
63,25,453.51,5,2.91,10,13,2,32.46,1,0,5,4,True,False,False,False
59,32,221.34,1,47.42,1,12,2,28.51,1,1,5,3,True,False,False,False
35,114,228.08,4,37.01,7,14,3,39.1,1,1,1,5,False,False,False,True
33,81,881.79,2,19.99,11,3,1,40.24,1,3,0,9,False,False,False,True
36,92,343.2,4,42.07,1,14,2,62.34,1,0,3,5,False,True,False,False
33,87,233.41,2,36.64,2,14,6,43.03,3,1,2,3,False,True,False,False
30,69,409.06,3,25.03,6,4,1,41.93,2,2,8,5,True,False,False,False
64,114,732.83,2,13.24,8,9,3,46.78,2,1,8,2,False,True,False,False
61,107,471.73,1,8.62,1,9,1,32.81,2,1,4,4,False,False,False,False
64,20,437.14,3,4.83,11,8,3,34.23,1,2,1,5,False,False,False,False
30,84,265.06,5,29.19,2,13,3,34.42,1,0,3,2,False,False,True,False
22,82,491.95,4,26.06,6,8,3,29.74,1,0,0,4,True,False,False,False
41,102,578.71,5,14.87,3,2,2,46.02,1,0,5,2,False,False,False,False
55,92,403.89,6,25.48,10,13,1,29.91,1,4,1,7,False,True,False,False
62,9,160.55,2,18.7,9,9,2,6.71,3,1,0,4,False,False,False,False
41,104,24.0,6,85.49,10,5,2,29.58,3,0,9,4,False,False,True,False
51,32,830.6,1,4.35,10,10,1,38.1,2,0,7,3,False,True,False,False
38,106,490.3,5,65.72,6,5,1,22.58,2,3,8,5,False,False,False,True
37,60,206.5,3,24.41,6,12,1,43.45,2,2,3,3,False,False,True,False
38,98,203.27,3,38.32,7,12,4,51.35,3,1,2,5,False,False,True,False
64,75,125.8,1,5.47,4,4,2,48.35,3,6,7,8,False,False,False,False
20,6,809.01,6,30.3,3,14,3,45.6,1,1,7,4,False,True,False,False
22,73,115.89,4,14.7,3,4,0,40.09,3,3,3,4,False,False,True,False
54,70,193.66,2,145.81,7,11,2,43.48,3,1,3,3,False,False,False,True
45,45,263.29,2,0.29,11,2,2,38.0,2,5,9,7,False,True,False,False
29,45,167.31,1,23.04,10,5,2,46.22,1,2,11,4,False,False,True,False
52,45,339.28,5,13.64,8,3,4,6.13,3,4,6,6,False,False,False,False
65,62,755.2,1,3.38,11,2,2,50.84,3,3,2,5,False,False,False,False
20,23,372.78,4,5.37,3,11,3,32.85,2,2,3,6,False,False,True,False
38,11,344.19,4,113.73,5,10,1,56.66,1,3,11,7,False,False,True,False
45,55,1072.6,2,2.58,11,2,4,18.52,2,1,7,4,False,True,False,False
48,70,633.9,3,12.8,3,14,1,34.44,1,2,7,5,False,True,False,False
53,76,320.04,1,22.74,9,13,0,41.78,1,2,11,2,False,True,False,False
31,72,135.56,1,15.66,1,4,1,40.94,2,1,0,7,True,False,False,False
19,5,640.01,5,69.97,3,7,3,25.18,1,1,7,5,False,False,False,False
58,2,138.61,1,34.09,1,7,3,39.34,3,1,8,6,False,False,False,True
47,2,468.18,5,31.94,8,5,3,47.9,3,2,5,5,False,False,True,False
54,12,115.02,3,80.58,7,9,1,37.96,2,0,7,3,False,False,False,True
59,65,420.19,2,25.33,7,4,4,48.75,2,2,2,6,True,False,False,False
34,109,153.14,5,14.99,1,12,1,12.87,1,3,2,6,False,True,False,False
43,37,225.62,2,47.2,2,13,0,36.32,1,1,6,2,False,False,False,False
24,70,167.6,5,17.6,9,14,2,43.46,2,0,8,2,True,False,False,False
69,100,143.09,3,8.05,7,11,2,29.36,3,0,3,2,True,False,False,False
59,80,155.11,5,20.98,2,6,3,24.02,2,0,5,2,False,False,True,False
30,42,386.9,6,8.84,1,3,2,33.7,1,2,9,4,False,False,False,True
43,48,660.74,1,37.11,4,10,6,34.89,2,0,7,2,True,False,False,False
18,71,263.81,4,14.5,9,7,2,28.72,3,0,7,1,False,False,False,True
52,91,463.66,4,22.48,5,4,0,50.04,1,3,7,4,False,False,False,True
20,2,165.13,2,9.41,4,11,6,29.83,3,3,6,7,False,False,True,False
26,20,494.51,5,38.9,1,3,1,33.93,3,1,1,4,False,False,False,False
61,73,639.78,3,19.78,4,8,2,38.9,1,1,7,5,False,True,False,False
24,47,191.86,3,26.5,3,13,4,25.15,3,0,7,4,False,False,True,False
29,104,148.15,1,21.21,4,3,1,47.81,3,0,2,4,True,False,False,False
42,76,186.9,5,32.75,1,7,5,55.3,1,0,8,2,False,False,False,True
57,20,94.62,4,45.77,1,3,5,36.95,3,1,10,4,True,False,False,False
47,106,138.62,4,4.05,3,7,3,31.24,3,0,10,2,False,True,False,False
32,53,432.54,5,38.67,9,14,1,33.17,1,0,10,4,False,False,False,True
42,101,448.02,3,21.81,1,10,2,36.01,2,1,2,3,False,False,False,True
38,117,184.42,2,21.94,5,7,2,43.18,3,1,1,5,False,False,False,True
18,51,113.92,3,48.81,9,7,0,42.36,1,1,8,1,False,False,True,False
37,97,690.01,4,47.3,3,13,2,64.73,3,4,4,10,True,False,False,False
67,14,496.05,1,1.38,2,3,2,37.12,1,2,4,4,False,False,False,False
39,61,317.11,1,6.86,11,6,4,32.21,1,4,11,6,False,True,False,False
56,111,679.64,3,10.67,3,11,3,37.25,1,0,6,2,True,False,False,False
62,15,417.04,5,24.88,1,10,1,64.66,2,3,5,5,False,False,True,False
21,74,125.96,5,7.14,1,12,1,38.05,2,1,9,4,False,True,False,False
50,85,263.38,1,0.28,6,9,2,38.38,1,2,5,5,False,True,False,False
32,73,676.14,1,68.44,4,11,2,43.14,1,1,8,2,False,False,False,True
30,16,374.87,3,32.3,2,5,4,57.0,3,0,1,4,True,False,False,False
39,49,387.3,4,10.41,11,4,4,28.6,3,5,8,7,False,True,False,False
37,2,659.61,3,133.51,2,13,1,51.86,2,2,6,7,False,True,False,False
50,108,45.74,6,22.62,8,9,0,34.54,2,0,3,1,True,False,False,False
18,69,383.81,5,3.05,5,10,1,34.43,3,1,10,3,True,False,False,False
67,81,568.61,3,42.19,4,11,1,46.85,2,4,9,7,False,True,False,False
56,12,270.95,3,15.04,1,12,5,49.38,3,0,8,2,False,True,False,False
51,82,411.08,5,26.7,5,8,1,52.95,1,2,2,5,False,False,True,False
37,26,347.56,5,9.99,6,12,4,37.15,3,3,4,5,False,False,False,False
25,81,816.27,1,73.96,1,8,1,58.35,1,1,4,4,False,False,False,True
54,39,375.09,4,5.51,2,9,1,39.8,3,1,10,4,False,True,False,False
36,65,294.43,6,49.91,8,6,2,35.0,1,0,3,1,False,True,False,False
37,47,147.41,4,68.04,8,4,2,19.83,2,1,3,3,False,False,False,True
30,15,158.16,6,111.61,10,11,2,49.43,3,0,7,4,False,False,True,False
63,7,54.96,3,7.99,7,6,3,48.07,1,0,6,3,True,False,False,False
65,81,212.06,2,20.22,4,14,1,23.25,2,1,6,2,False,False,True,False
40,115,276.6,1,20.51,3,9,2,46.01,2,2,0,7,False,False,False,True
34,61,94.49,3,3.7,7,11,1,63.15,1,3,11,7,False,False,True,False
64,57,200.1,1,109.8,1,9,5,44.12,1,1,2,3,False,False,True,False
68,60,247.14,3,66.17,5,13,2,46.46,3,0,1,2,False,False,False,False
60,95,55.61,2,26.26,3,14,3,20.22,1,2,5,4,True,False,False,False
57,15,155.46,3,12.52,10,7,1,44.49,3,0,3,2,False,False,False,True
58,76,897.65,2,4.05,5,8,5,15.81,1,2,1,7,True,False,False,False
49,64,372.5,3,8.61,11,9,2,33.01,3,3,1,7,True,False,False,False
20,77,192.85,5,48.42,9,2,1,44.74,1,2,11,4,False,False,False,True
